SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
488,less than 20,0,1,0,4,1,1,3.1,0,216
488,less than 20,1,0,1,0,0,0,-1.0,0,216
488,less than 20,2,1,2,0,1,6,-1.1,0,216
488,less than 20,2,1,2,2,1,0,-0.1,1,216
487,less than 20,0,1,0,6,1,0,1.6,1,222
487,less than 20,1,0,2,0,0,3,2.3,0,222
487,less than 20,1,1,1,5,1,0,0.0,0,222
487,less than 20,1,1,1,3,1,0,0.6,0,222
486,less than 20,0,1,0,1,1,21,-0.5,0,227
486,less than 20,2,1,2,2,1,0,-0.4,2,227
486,less than 20,0,1,2,2,0,2,-0.3,0,227
486,less than 20,0,1,0,7,1,2,-3.1,2,227
486,less than 20,1,1,1,2,1,0,0.6,1,227
486,less than 20,0,1,0,4,1,6,0.1,1,227
486,less than 20,1,1,1,1,1,7,0.9,0,227
485,less than 20,0,1,0,7,1,1,2.7,0,236
485,less than 20,0,1,0,1,1,9,3.2,0,236
485,less than 20,0,1,0,6,1,0,1.5,1,236
485,less than 20,2,1,2,0,1,7,1.7,0,236
485,less than 20,1,1,1,3,1,8,2.2,1,236
485,less than 20,1,1,3,1,1,0,0.6,0,236
484,less than 20,0,1,0,3,1,5,-0.3,0,242
484,less than 20,0,1,0,4,1,0,1.4,1,242
484,less than 20,0,1,0,0,1,18,4.6,0,242
484,less than 20,1,1,2,2,1,0,1.4,1,242
484,less than 20,2,1,2,0,1,3,-0.1,0,242
483,less than 20,0,1,0,3,1,7,1.6,1,247
483,less than 20,2,1,3,1,1,2,-0.5,1,247
483,less than 20,0,1,1,4,1,0,1.4,1,247
483,less than 20,2,1,2,2,1,5,0.5,0,247
483,less than 20,2,1,2,2,1,2,1.0,0,247
483,less than 20,1,1,1,4,1,0,-0.9,2,247
483,less than 20,0,1,2,3,1,2,0.8,0,247
483,less than 20,1,1,2,2,1,0,3.0,0,247
483,less than 20,0,1,0,3,1,1,-1.0,3,247
482,less than 20,0,1,0,7,1,1,0.2,0,258
482,less than 20,1,1,1,5,0,0,-0.1,1,258
482,less than 20,0,1,0,1,0,1,-0.1,1,258
482,less than 20,1,1,1,0,1,0,0.6,0,258
482,less than 20,0,1,0,4,1,2,2.3,0,258
481,less than 20,1,0,3,3,0,0,0.2,0,266
481,less than 20,1,1,1,0,0,1,0.7,0,266
481,less than 20,1,1,1,0,1,9,-0.2,0,266
481,less than 20,1,1,1,3,1,0,-1.4,2,266
481,less than 20,0,1,0,8,1,0,1.9,0,266
481,less than 20,2,1,2,0,1,1,1.2,0,266
481,less than 20,0,1,0,2,1,12,3.2,1,266
481,less than 20,1,1,1,2,1,0,1.8,1,266
480,less than 20,0,1,3,3,1,1,-2.2,1,277
480,less than 20,0,1,0,2,0,0,0.4,0,277
480,less than 20,2,1,2,3,1,1,-0.8,0,277
480,less than 20,0,1,1,1,0,0,-0.1,0,277
480,less than 20,1,1,1,4,1,1,-0.9,0,277
480,less than 20,1,1,3,2,1,2,0.7,0,277
480,less than 20,0,1,0,9,1,0,-1.5,2,277
480,less than 20,2,1,2,0,1,3,-0.6,0,277
479,less than 20,1,1,2,6,1,1,-1.5,1,286
479,less than 20,0,1,0,3,0,1,0.5,1,286
479,less than 20,1,1,1,4,1,1,-0.8,0,286
