SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,RACE_CODE_CD,SSL_SCORE_RANK,SHORT_LIST
500,less than 20,2,M,2,2,1,6,1.0,0,0,1,1
500,less than 20,2,M,2,5,1,2,2.6,0,0,1,1
500,less than 20,1,M,0,5,1,2,1.7,2,0,1,1
500,less than 20,0,M,0,1,1,18,-4.5,0,0,1,1
500,less than 20,2,M,2,2,1,4,0.7,0,0,1,1
500,less than 20,0,M,0,2,1,13,-2.8,2,0,1,1
500,less than 20,1,M,2,3,1,5,1.5,0,0,1,1
500,less than 20,0,M,2,6,1,1,1.2,1,0,1,1
500,less than 20,0,M,0,3,1,9,1.4,2,0,1,1
500,less than 20,0,M,0,0,0,8,0.6,0,0,1,1
500,less than 20,1,M,1,3,1,0,0.0,3,0,1,1
500,20-30,2,M,2,0,1,2,-1.0,0,0,1,1
500,less than 20,0,M,0,4,1,3,0.7,0,0,1,1
500,less than 20,2,F,1,0,0,0,-1.0,0,0,1,1
500,less than 20,1,M,0,7,1,1,-1.2,0,0,1,1
500,less than 20,4,M,4,0,1,2,-1.5,0,0,1,1
500,less than 20,2,M,3,6,1,1,-0.3,1,0,1,1
500,less than 20,0,M,0,5,1,0,-1.1,3,0,1,1
500,less than 20,2,M,2,6,1,0,-1.1,1,0,1,1
500,less than 20,0,M,0,5,1,1,-1.1,2,0,1,1
500,less than 20,0,M,0,7,1,0,-1.1,0,0,1,1
500,less than 20,0,M,1,3,1,7,4.5,2,0,1,1
500,20-30,2,M,2,3,1,2,-1.0,1,0,1,1
500,less than 20,0,M,0,5,1,4,-1.2,2,0,1,1
500,less than 20,0,M,0,0,1,17,1.7,0,0,1,1
500,less than 20,2,M,2,1,1,8,-0.8,0,0,1,1
500,less than 20,1,M,1,0,1,24,3.9,0,0,1,1
500,less than 20,1,M,1,2,1,9,2.7,0,0,1,1
500,less than 20,2,M,2,1,1,1,0.9,1,0,1,1
500,20-30,0,M,0,4,1,0,2.2,3,0,1,1
500,less than 20,0,M,0,3,1,1,-1.4,2,0,1,1
500,20-30,2,M,2,3,1,0,-0.5,2,0,1,1
500,less than 20,1,M,2,4,1,0,0.9,0,0,1,1
500,20-30,0,M,9,1,1,0,1.0,0,1,1,1
500,less than 20,1,M,3,1,1,2,-0.7,0,2,1,1
500,less than 20,1,M,0,6,1,2,-0.5,3,0,1,1
500,20-30,1,F,9,1,1,0,0.7,0,0,1,1
500,less than 20,2,M,1,1,1,2,0.0,0,0,1,1
500,less than 20,0,M,0,8,1,3,1.2,3,2,1,1
500,20-30,0,M,7,0,1,1,0.5,0,0,1,1
500,less than 20,1,M,1,4,1,1,-1.9,1,0,1,1
500,less than 20,2,M,2,1,1,16,-0.7,0,0,1,1
500,20-30,0,M,7,1,0,0,0.7,0,0,1,1
500,less than 20,1,M,1,5,1,2,-0.5,2,0,1,1
500,less than 20,2,M,2,2,1,2,-1.3,1,0,1,1
500,less than 20,2,M,2,1,1,4,0.8,1,2,1,1
500,less than 20,1,M,5,2,1,0,-0.9,1,2,1,1
500,20-30,0,M,1,2,1,4,-1.3,2,0,1,1
500,less than 20,0,M,1,2,1,1,0.0,2,0,1,1
500,less than 20,1,M,2,4,1,0,2.5,0,0,1,1
500,less than 20,1,M,1,4,1,0,1.9,0,0,1,1
500,less than 20,0,M,0,3,1,0,2.6,0,0,1,1
500,less than 20,1,M,1,4,1,0,1.6,1,0,1,1
500,20-30,0,F,10,1,0,0,0.3,1,0,1,1
500,less than 20,0,M,0,6,1,2,-1.8,0,0,1,1
500,less than 20,0,M,0,5,0,0,1.3,3,0,1,1
500,less than 20,1,M,4,3,1,0,-0.2,1,0,1,1
500,less than 20,0,M,0,6,1,0,2.5,1,0,1,1
500,less than 20,0,M,0,7,1,1,-2.5,1,0,1,1
500,less than 20,1,M,3,5,1,0,-0.8,3,0,1,1
500,less than 20,0,F,5,1,0,0,0.8,0,0,1,1
500,less than 20,1,M,1,5,1,1,0.3,1,0,1,1
500,less than 20,2,M,2,1,1,0,-0.3,0,0,1,1
500,20-30,3,M,4,1,1,0,0.8,1,0,1,1
500,20-30,2,M,2,0,1,14,2.2,0,0,1,1
500,less than 20,2,M,2,1,1,9,1.2,0,0,1,1
500,less than 20,2,M,2,3,1,4,0.0,1,0,1,1
500,20-30,0,M,0,4,1,0,-1.6,2,0,1,1
500,less than 20,2,M,2,0,1,1,-0.1,0,0,1,1
500,less than 20,0,M,0,3,1,0,-2.4,2,0,1,1
500,less than 20,1,M,1,6,1,1,-1.4,1,0,1,1
500,less than 20,0,M,0,6,1,0,2.5,2,0,1,1
500,less than 20,1,M,1,1,0,4,-0.7,0,0,1,1
500,less than 20,0,M,0,7,1,3,-1.3,0,0,1,1
500,20-30,3,M,4,2,1,3,-0.7,1,0,1,1
500,less than 20,2,M,2,4,1,1,-2.9,3,0,1,1
500,less than 20,3,M,3,0,1,5,0.3,0,0,1,1
500,less than 20,0,M,2,3,1,0,2.7,1,1,1,1
500,less than 20,0,M,1,0,1,20,-4.0,0,0,1,1
500,less than 20,0,M,1,5,1,1,-0.2,2,0,1,1
500,20-30,3,M,2,0,1,1,-1.4,0,0,1,1
500,less than 20,0,M,0,6,1,2,-1.5,1,0,1,1
500,less than 20,0,M,0,6,1,0,-2.6,0,0,1,1
500,less than 20,1,M,0,0,1,13,-4.5,0,0,1,1
500,less than 20,2,M,3,3,1,0,-1.1,0,0,1,1
500,less than 20,1,M,1,3,1,5,1.8,1,0,1,1
500,less than 20,0,M,2,4,1,1,-0.2,1,0,1,1
500,less than 20,1,M,2,1,1,3,1.0,0,1,1,1
499,less than 20,1,M,4,1,1,2,-0.9,0,1,154,1
499,less than 20,2,M,3,4,1,0,-1.0,0,2,154,1
499,less than 20,0,F,0,0,0,0,1.4,0,0,154,1
499,less than 20,0,F,3,3,0,1,0.2,1,0,154,1
499,less than 20,1,M,1,5,1,1,-0.3,1,0,154,1
498,less than 20,1,M,1,2,1,7,2.9,0,0,159,1
498,less than 20,1,M,1,0,1,6,2.0,0,0,159,1
498,less than 20,1,M,2,0,0,2,1.1,0,0,159,1
498,less than 20,0,M,0,7,1,1,-0.9,0,0,159,1
498,less than 20,1,M,1,3,1,1,0.8,0,0,159,1
498,20-30,2,M,2,1,1,2,0.0,1,0,159,1
498,less than 20,0,M,1,2,1,0,1.0,1,0,159,1
498,less than 20,2,M,2,2,1,3,-1.8,0,0,159,1
498,less than 20,1,M,1,2,1,0,1.2,1,2,159,1
497,20-30,0,M,5,0,1,0,-0.1,0,2,168,1
497,less than 20,0,M,0,3,0,0,-0.2,0,0,168,1
497,less than 20,0,M,0,0,1,14,-3.6,0,0,168,1
497,less than 20,1,M,2,2,1,4,0.7,0,0,168,1
497,less than 20,0,M,0,7,0,3,0.7,1,0,168,1
497,less than 20,0,M,1,0,0,0,0.4,0,0,168,1
497,less than 20,0,M,1,6,1,1,2.1,2,2,168,1
497,less than 20,0,M,0,0,1,19,2.0,0,0,168,1
496,less than 20,1,M,1,3,1,1,0.9,1,0,176,1
496,less than 20,0,M,0,8,1,2,1.0,0,0,176,1
496,less than 20,0,M,1,0,0,0,-0.3,0,0,176,1
496,less than 20,0,M,0,0,1,15,6.7,0,0,176,1
496,less than 20,1,M,1,4,1,1,0.9,1,0,176,1
495,less than 20,2,M,2,1,1,3,-0.5,0,0,181,1
495,less than 20,0,M,0,7,1,1,-2.5,0,0,181,1
495,less than 20,1,M,1,5,1,0,-1.4,1,0,181,1
495,less than 20,0,M,0,3,1,8,3.9,1,0,181,1
495,less than 20,1,M,2,6,1,0,-0.5,0,0,181,1
495,less than 20,1,M,0,5,1,0,0.4,1,2,181,1
495,less than 20,2,M,2,0,1,3,-0.2,0,2,181,1
495,less than 20,1,M,1,5,1,0,0.3,0,0,181,1
495,less than 20,1,M,2,2,1,0,3.0,0,0,181,1
494,less than 20,0,M,0,2,1,11,-2.7,0,0,190,1
494,less than 20,1,M,1,1,1,10,2.9,0,0,190,1
494,less than 20,0,M,1,4,1,2,-0.6,2,0,190,1
494,less than 20,0,M,0,1,0,1,0.2,1,0,190,1
493,less than 20,2,M,2,2,1,4,0.5,1,0,194,1
493,less than 20,1,M,1,3,1,2,-2.7,1,0,194,1
493,less than 20,1,M,2,2,1,8,1.7,0,0,194,1
492,20-30,2,M,3,1,1,1,0.5,1,2,197,1
492,less than 20,1,M,2,1,1,1,0.4,0,0,197,1
492,less than 20,0,F,0,0,1,13,-0.3,0,0,197,1
492,less than 20,0,M,0,6,1,1,-0.6,3,0,197,1
491,less than 20,1,M,1,1,1,19,-2.6,1,0,201,1
491,less than 20,0,M,2,0,1,3,0.5,0,0,201,1
491,less than 20,2,M,2,2,1,0,0.1,0,0,201,1
490,less than 20,0,M,0,8,1,3,2.3,0,0,204,1
490,less than 20,1,M,2,1,1,6,-1.1,1,0,204,1
490,less than 20,0,M,0,6,1,0,-2.4,0,0,204,1
490,20-30,3,M,3,2,1,0,0.1,0,0,204,1
490,less than 20,1,M,1,4,1,0,2.8,1,0,204,1
490,less than 20,0,M,2,1,1,5,2.1,0,0,204,1
490,less than 20,2,M,2,2,1,0,-0.9,0,0,204,1
490,less than 20,0,M,1,5,1,0,-0.9,3,0,204,1
489,20-30,2,M,2,2,1,1,-0.8,2,0,212,1
489,less than 20,0,M,1,1,0,0,-0.1,0,0,212,1
489,less than 20,2,M,2,1,1,4,-0.6,1,0,212,1
489,less than 20,0,M,2,2,0,0,1.8,1,0,212,1
488,less than 20,1,M,1,0,1,6,0.6,0,0,216,1
488,less than 20,0,M,0,4,1,1,3.1,0,0,216,1
488,less than 20,1,F,1,0,0,0,-1.0,0,0,216,1
488,less than 20,2,M,2,0,1,6,-1.1,0,0,216,1
488,less than 20,2,M,2,2,1,0,-0.1,1,2,216,1
488,20-30,0,M,0,0,1,29,-3.4,0,0,216,1
487,less than 20,0,M,0,6,1,0,1.6,1,2,222,1
487,20-30,2,M,2,2,1,1,-1.2,0,0,222,1
487,less than 20,1,F,2,0,0,3,2.3,0,0,222,1
487,less than 20,1,M,1,5,1,0,0.0,0,0,222,1
487,less than 20,1,M,1,3,1,0,0.6,0,0,222,1
486,less than 20,0,M,0,1,1,21,-0.5,0,0,227,1
486,less than 20,2,M,2,2,1,0,-0.4,2,0,227,1
486,20-30,0,M,1,1,0,4,-0.2,1,0,227,1
486,less than 20,0,M,2,2,0,2,-0.3,0,0,227,1
486,20-30,2,M,2,2,1,2,0.0,0,0,227,1
486,less than 20,0,M,0,7,1,2,-3.1,2,0,227,1
486,less than 20,1,M,1,2,1,0,0.6,1,0,227,1
486,less than 20,0,M,0,4,1,6,0.1,1,2,227,1
486,less than 20,1,M,1,1,1,7,0.9,0,0,227,1
485,less than 20,0,M,0,7,1,1,2.7,0,0,236,1
485,less than 20,0,M,0,1,1,9,3.2,0,0,236,1
485,less than 20,0,M,0,6,1,0,1.5,1,0,236,1
485,less than 20,2,M,2,0,1,7,1.7,0,0,236,1
485,less than 20,1,M,1,3,1,8,2.2,1,0,236,1
485,less than 20,1,M,3,1,1,0,0.6,0,1,236,1
484,less than 20,0,M,0,3,1,5,-0.3,0,2,242,1
484,less than 20,0,M,0,4,1,0,1.4,1,0,242,1
484,less than 20,0,M,0,0,1,18,4.6,0,0,242,1
484,less than 20,1,M,2,2,1,0,1.4,1,0,242,1
484,less than 20,2,M,2,0,1,3,-0.1,0,0,242,1
483,less than 20,0,M,0,3,1,7,1.6,1,0,247,1
483,less than 20,2,M,3,1,1,2,-0.5,1,0,247,1
483,20-30,0,M,0,1,1,15,-3.8,1,0,247,1
483,less than 20,0,M,1,4,1,0,1.4,1,0,247,1
483,less than 20,2,M,2,2,1,5,0.5,0,0,247,1
483,less than 20,2,M,2,2,1,2,1.0,0,0,247,1
483,less than 20,1,M,1,4,1,0,-0.9,2,2,247,1
483,less than 20,0,M,2,3,1,2,0.8,0,0,247,1
483,20-30,3,M,2,1,1,1,0.0,0,0,247,1
483,less than 20,1,M,2,2,1,0,3.0,0,0,247,1
483,less than 20,0,M,0,3,1,1,-1.0,3,0,247,1
482,less than 20,0,M,0,7,1,1,0.2,0,0,258,1
482,less than 20,1,M,1,5,0,0,-0.1,1,0,258,1
482,less than 20,0,M,0,1,0,1,-0.1,1,0,258,1
482,20-30,2,M,2,0,1,14,-3.1,0,0,258,1
482,20-30,3,M,2,0,1,5,-2.8,0,0,258,1
482,20-30,2,M,2,1,1,2,-0.6,1,0,258,1
482,less than 20,1,M,1,0,1,0,0.6,0,0,258,1
482,less than 20,0,M,0,4,1,2,2.3,0,0,258,1
481,less than 20,1,F,3,3,0,0,0.2,0,0,266,1
481,20-30,1,M,3,1,1,7,-1.7,0,0,266,1
481,less than 20,1,M,1,0,0,1,0.7,0,0,266,1
481,20-30,2,M,2,3,1,0,0.7,2,0,266,1
481,less than 20,1,M,1,0,1,9,-0.2,0,0,266,1
481,less than 20,1,M,1,3,1,0,-1.4,2,0,266,1
481,20-30,1,M,3,0,1,4,1.9,0,0,266,1
481,less than 20,0,M,0,8,1,0,1.9,0,0,266,1
481,less than 20,2,M,2,0,1,1,1.2,0,0,266,1
481,less than 20,0,M,0,2,1,12,3.2,1,0,266,1
481,less than 20,1,M,1,2,1,0,1.8,1,0,266,1
480,less than 20,0,M,3,3,1,1,-2.2,1,0,277,1
480,less than 20,0,M,0,2,0,0,0.4,0,0,277,1
480,20-30,1,M,2,2,1,1,0.2,1,0,277,1
480,less than 20,2,M,2,3,1,1,-0.8,0,0,277,1
480,less than 20,0,M,1,1,0,0,-0.1,0,0,277,1
480,less than 20,1,M,1,4,1,1,-0.9,0,0,277,1
480,less than 20,1,M,3,2,1,2,0.7,0,2,277,1
480,less than 20,0,M,0,9,1,0,-1.5,2,0,277,1
480,less than 20,2,M,2,0,1,3,-0.6,0,0,277,1
479,less than 20,1,M,2,6,1,1,-1.5,1,0,286,1
479,less than 20,0,M,0,3,0,1,0.5,1,0,286,1
479,less than 20,1,M,1,4,1,1,-0.8,0,0,286,1
479,less than 20,0,M,3,2,1,1,0.1,1,0,286,1
479,20-30,2,M,3,2,1,2,-0.4,1,0,286,1
479,less than 20,0,M,1,3,1,0,-1.0,0,0,286,1
479,less than 20,1,M,1,4,1,0,2.2,0,0,286,1
479,less than 20,0,M,0,3,1,4,-0.3,0,0,286,1
479,less than 20,1,M,2,4,1,3,-1.3,2,2,286,1
479,less than 20,1,M,1,1,1,13,3.2,0,0,286,1
478,30-40,1,M,6,1,1,0,-0.6,1,0,296,1
478,less than 20,0,M,1,0,0,0,0.2,0,0,296,1
478,less than 20,1,M,1,5,1,0,0.2,0,0,296,1
478,less than 20,0,M,0,8,1,0,4.6,0,0,296,1
478,less than 20,1,M,1,4,0,0,-0.4,2,0,296,1
477,less than 20,0,M,0,5,1,0,-0.5,2,0,301,1
477,less than 20,1,M,1,1,1,0,2.0,1,0,301,1
477,less than 20,1,M,1,1,1,5,0.3,0,0,301,1
477,less than 20,0,M,0,4,1,1,1.0,1,0,301,1
477,less than 20,1,M,2,1,1,4,3.1,0,0,301,1
477,less than 20,1,F,1,5,0,0,1.3,0,0,301,1
477,less than 20,2,M,2,1,1,0,0.1,0,0,301,1
476,less than 20,1,M,1,3,1,3,-1.1,3,0,308,1
476,less than 20,0,M,0,5,1,1,1.9,0,0,308,1
476,less than 20,0,M,0,1,1,15,-3.1,0,0,308,1
476,20-30,0,F,3,0,0,3,0.5,0,0,308,1
476,less than 20,0,M,1,4,1,0,0.0,2,0,308,1
476,less than 20,2,M,1,1,1,2,-1.3,0,0,308,1
476,less than 20,1,M,2,2,1,0,0.5,1,0,308,1
476,less than 20,1,M,1,0,1,4,-2.7,0,0,308,1
476,less than 20,1,M,2,3,1,1,-0.3,1,0,308,1
476,less than 20,0,M,1,1,1,0,2.1,1,0,308,1
476,less than 20,1,M,1,0,1,8,2.0,0,0,308,1
475,less than 20,0,M,0,3,1,4,0.3,0,0,319,1
475,less than 20,0,M,0,7,1,0,0.7,1,0,319,1
475,less than 20,2,M,2,2,1,0,0.5,0,0,319,1
475,20-30,1,M,1,0,1,11,-0.4,0,0,319,1
475,less than 20,0,M,0,3,1,3,0.6,1,0,319,1
475,20-30,2,M,2,0,1,0,-0.4,0,0,319,1
475,less than 20,0,M,2,3,1,0,1.6,3,0,319,1
475,less than 20,1,M,1,3,1,5,0.5,0,0,319,1
475,less than 20,3,M,3,1,1,0,0.0,0,0,319,1
475,20-30,3,M,3,0,1,1,-0.3,0,0,319,1
475,less than 20,0,M,1,0,1,14,3.4,0,0,319,1
475,less than 20,0,M,1,2,1,1,0.3,1,0,319,1
475,less than 20,1,M,2,2,1,0,0.7,1,0,319,1
475,less than 20,0,M,1,3,1,0,0.8,1,0,319,1
475,less than 20,1,M,1,4,1,3,-0.4,1,0,319,1
474,20-30,2,M,2,3,1,0,0.3,2,0,334,1
474,less than 20,2,M,2,2,1,3,-0.7,0,0,334,1
474,less than 20,1,M,1,5,1,1,0.4,1,0,334,1
474,20-30,1,M,1,3,1,1,-1.2,3,0,334,1
474,20-30,0,M,2,3,1,2,-0.8,1,0,334,1
474,20-30,2,M,2,3,1,1,0.4,3,0,334,1
474,less than 20,0,M,0,3,1,1,-0.3,1,0,334,1
474,less than 20,2,M,2,2,1,2,0.2,0,0,334,1
474,20-30,1,M,1,0,1,10,0.0,0,0,334,1
473,less than 20,0,M,0,5,1,1,-1.6,1,0,343,1
473,less than 20,0,M,0,4,1,1,-2.1,1,0,343,1
473,20-30,2,M,2,1,1,0,-0.6,0,2,343,1
473,less than 20,1,M,2,3,1,1,1.8,0,0,343,1
473,20-30,0,F,2,0,0,0,0.0,0,0,343,1
473,less than 20,0,M,0,4,1,0,0.4,0,0,343,1
473,less than 20,0,M,0,2,0,0,-1.0,1,0,343,1
473,less than 20,1,M,1,4,1,0,1.1,0,0,343,1
473,less than 20,1,M,1,4,1,2,-0.2,2,0,343,1
473,less than 20,2,M,2,2,1,0,0.1,1,2,343,1
473,20-30,2,M,4,0,1,1,-0.6,0,2,343,1
473,less than 20,0,M,0,0,0,0,-0.3,0,0,343,1
473,less than 20,0,M,0,4,1,9,3.7,0,0,343,1
472,less than 20,1,M,1,0,0,0,0.8,0,0,356,1
472,less than 20,0,M,0,6,1,0,2.7,0,0,356,1
472,less than 20,1,M,0,5,1,2,0.6,1,0,356,1
472,20-30,0,M,1,1,1,3,1.5,1,0,356,1
472,less than 20,1,M,1,1,0,3,1.1,1,0,356,1
472,less than 20,2,M,1,0,0,1,0.4,0,0,356,1
472,less than 20,1,M,1,2,1,3,2.2,0,2,356,1
471,less than 20,0,M,0,2,0,0,-0.4,0,0,363,1
471,less than 20,1,M,2,0,1,0,-1.9,0,0,363,1
471,less than 20,1,M,1,1,1,6,1.2,1,0,363,1
471,20-30,0,F,5,0,0,0,0.0,0,0,363,1
471,30-40,0,M,0,0,1,22,-1.8,0,0,363,1
471,less than 20,0,M,0,7,1,1,0.9,2,2,363,1
471,20-30,1,M,2,4,1,0,-1.9,2,0,363,1
471,less than 20,0,M,0,5,1,1,3.0,2,0,363,1
470,less than 20,2,M,2,2,1,2,0.8,0,2,371,1
470,20-30,2,M,2,0,1,6,0.5,0,0,371,1
470,20-30,1,M,1,0,1,12,2.0,0,0,371,1
470,20-30,2,M,2,0,1,6,0.4,0,0,371,1
470,less than 20,1,M,1,2,1,13,-0.9,0,0,371,1
470,less than 20,0,M,1,4,0,0,3.3,0,0,371,1
470,less than 20,0,M,0,3,0,3,2.3,0,0,371,1
470,20-30,1,M,1,4,1,0,1.6,3,0,371,1
470,less than 20,0,M,0,7,0,4,0.4,2,0,371,1
470,less than 20,1,M,1,3,1,2,-1.4,0,0,371,1
469,less than 20,3,M,2,0,0,3,0.4,0,0,381,1
469,less than 20,0,M,0,7,1,0,-0.4,1,0,381,1
469,less than 20,0,M,0,4,1,1,2.0,1,0,381,1
469,less than 20,0,M,1,3,1,0,-1.4,0,0,381,1
469,less than 20,0,M,0,5,1,1,-0.5,0,0,381,1
469,20-30,2,M,2,4,1,0,-1.4,1,0,381,1
469,less than 20,0,M,0,3,1,10,-1.0,1,0,381,1
469,less than 20,0,M,0,5,1,8,-0.8,1,0,381,1
469,20-30,1,M,3,1,1,2,-0.2,0,0,381,1
469,less than 20,0,M,1,5,1,1,2.1,0,0,381,1
469,less than 20,1,M,1,3,1,0,-0.8,3,0,381,1
469,less than 20,0,F,1,2,0,1,0.3,0,0,381,1
469,20-30,2,M,2,2,1,0,0.1,2,0,381,1
469,less than 20,0,F,0,0,0,0,-0.3,0,0,381,1
469,less than 20,2,M,1,0,0,0,-0.2,0,0,381,1
469,less than 20,0,M,0,5,1,0,0.1,1,0,381,1
469,less than 20,1,M,1,2,1,2,-3.4,0,0,381,1
469,less than 20,0,M,0,4,1,1,-0.9,0,0,381,1
468,20-30,1,M,1,1,1,1,0.6,1,0,399,1
468,20-30,1,M,1,1,1,1,0.0,1,0,399,1
468,less than 20,0,M,0,2,1,0,-1.1,1,0,399,1
468,less than 20,0,M,1,4,1,0,1.3,3,2,399,1
468,less than 20,2,M,1,4,1,0,0.1,0,2,399,1
468,less than 20,1,M,3,2,1,0,-0.7,1,0,399,1
468,less than 20,0,M,1,3,1,2,4.5,1,0,399,1
468,less than 20,1,M,2,3,1,3,-1.1,1,0,399,1
468,less than 20,1,M,0,2,1,2,-0.3,1,0,399,1
468,less than 20,0,M,0,0,0,0,-0.1,0,0,399,1
468,20-30,1,M,2,2,1,2,0.4,1,0,399,1
467,less than 20,0,M,1,1,1,1,3.8,1,2,410,1
467,less than 20,1,M,1,2,1,5,0.7,2,0,410,1
467,less than 20,0,M,0,0,0,0,-0.7,0,0,410,1
467,less than 20,0,M,2,3,1,0,1.1,0,2,410,1
467,20-30,0,M,5,0,1,4,-0.2,0,0,410,1
467,20-30,2,M,1,3,1,0,0.7,2,0,410,1
467,less than 20,1,M,2,1,0,0,-0.4,0,0,410,1
467,less than 20,1,M,1,1,1,0,0.4,0,0,410,1
467,less than 20,1,M,1,1,1,2,0.3,0,0,410,1
467,less than 20,1,M,1,4,1,4,-0.2,2,0,410,1
467,less than 20,0,M,0,6,1,0,1.5,3,2,410,1
467,less than 20,0,M,1,1,0,0,0.6,1,0,410,1
467,less than 20,0,M,0,4,1,0,0.9,2,0,410,1
467,less than 20,1,M,1,4,1,1,-1.2,4,2,410,1
467,less than 20,1,M,1,2,1,3,0.3,0,0,410,1
467,less than 20,2,M,2,1,1,1,0.0,0,0,410,1
467,less than 20,1,M,1,2,1,9,1.3,0,0,410,1
467,20-30,2,M,1,0,1,1,-0.3,0,0,410,1
467,20-30,1,M,2,2,1,1,-0.5,0,0,410,1
466,less than 20,0,M,0,3,1,5,-0.6,1,0,429,1
