SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
500,20-30,2,1,2,3,1,2,-1.0,1,1
500,less than 20,0,1,0,5,1,4,-1.2,2,1
500,less than 20,0,1,0,0,1,17,1.7,0,1
500,less than 20,2,1,2,1,1,8,-0.8,0,1
500,less than 20,1,1,1,0,1,24,3.9,0,1
500,less than 20,1,1,1,2,1,9,2.7,0,1
500,less than 20,2,1,2,1,1,1,0.9,1,1
500,20-30,0,1,0,4,1,0,2.2,3,1
500,less than 20,0,1,0,3,1,1,-1.4,2,1
500,20-30,2,1,2,3,1,0,-0.5,2,1
500,less than 20,1,1,2,4,1,0,0.9,0,1
500,20-30,0,1,9,1,1,0,1.0,0,1
500,less than 20,1,1,3,1,1,2,-0.7,0,1
500,less than 20,1,1,0,6,1,2,-0.5,3,1
500,20-30,1,0,9,1,1,0,0.7,0,1
500,less than 20,2,1,1,1,1,2,0.0,0,1
500,less than 20,0,1,0,8,1,3,1.2,3,1
500,20-30,0,1,7,0,1,1,0.5,0,1
500,less than 20,1,1,1,4,1,1,-1.9,1,1
500,less than 20,2,1,2,1,1,16,-0.7,0,1
500,20-30,0,1,7,1,0,0,0.7,0,1
500,less than 20,1,1,1,5,1,2,-0.5,2,1
500,less than 20,2,1,2,2,1,2,-1.3,1,1
500,less than 20,2,1,2,1,1,4,0.8,1,1
500,less than 20,1,1,5,2,1,0,-0.9,1,1
500,20-30,0,1,1,2,1,4,-1.3,2,1
500,less than 20,0,1,1,2,1,1,0.0,2,1
500,less than 20,1,1,2,4,1,0,2.5,0,1
500,less than 20,1,1,1,4,1,0,1.9,0,1
500,less than 20,0,1,0,3,1,0,2.6,0,1
500,less than 20,1,1,1,4,1,0,1.6,1,1
500,20-30,0,0,10,1,0,0,0.3,1,1
500,less than 20,0,1,0,6,1,2,-1.8,0,1
500,less than 20,0,1,0,5,0,0,1.3,3,1
500,less than 20,1,1,4,3,1,0,-0.2,1,1
500,less than 20,0,1,0,6,1,0,2.5,1,1
500,less than 20,0,1,0,7,1,1,-2.5,1,1
500,less than 20,1,1,3,5,1,0,-0.8,3,1
500,less than 20,0,0,5,1,0,0,0.8,0,1
500,less than 20,1,1,1,5,1,1,0.3,1,1
500,less than 20,2,1,2,1,1,0,-0.3,0,1
500,20-30,3,1,4,1,1,0,0.8,1,1
500,20-30,2,1,2,0,1,14,2.2,0,1
500,less than 20,2,1,2,1,1,9,1.2,0,1
500,less than 20,2,1,2,3,1,4,0.0,1,1
500,20-30,0,1,0,4,1,0,-1.6,2,1
500,less than 20,2,1,2,0,1,1,-0.1,0,1
500,less than 20,0,1,0,3,1,0,-2.4,2,1
500,less than 20,1,1,1,6,1,1,-1.4,1,1
500,less than 20,0,1,0,6,1,0,2.5,2,1
500,less than 20,1,1,1,1,0,4,-0.7,0,1
500,less than 20,0,1,0,7,1,3,-1.3,0,1
500,20-30,3,1,4,2,1,3,-0.7,1,1
500,less than 20,2,1,2,4,1,1,-2.9,3,1
