SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
366,30-40,1,1,1,1,1,2,0.2,1,12351
366,30-40,0,1,0,2,1,9,-1.9,2,12351
365,30-40,0,1,2,1,1,0,0.0,1,13017
365,30-40,1,1,1,1,1,1,0.0,1,13017
365,30-40,0,1,0,1,1,3,0.6,1,13017
365,30-40,0,1,0,2,1,1,0.7,2,13017
365,30-40,1,1,1,1,1,1,0.3,1,13017
364,30-40,1,1,1,1,1,1,0.2,1,13670
364,30-40,1,1,1,1,1,2,0.3,0,13670
363,30-40,1,1,0,1,1,0,0.3,0,14179
363,30-40,1,1,1,0,1,2,1.5,0,14179
363,30-40,0,1,1,1,1,3,0.7,0,14179
362,30-40,0,1,1,1,1,6,0.0,0,14742
362,30-40,0,0,2,0,0,1,-0.3,0,14742
362,30-40,1,0,2,0,1,0,-0.4,0,14742
362,30-40,0,1,0,0,0,0,0.0,0,14742
362,30-40,0,1,0,2,0,0,0.6,2,14742
361,30-40,0,1,2,0,1,1,0.7,0,15599
361,30-40,0,1,0,1,1,6,0.8,0,15599
361,30-40,0,1,2,1,1,0,-0.1,1,15599
361,30-40,1,1,1,1,1,0,0.3,1,15599
361,30-40,0,0,3,0,0,0,-0.1,0,15599
361,30-40,1,1,1,1,1,1,0.5,0,15599
361,30-40,1,1,1,0,1,9,0.3,0,15599
361,30-40,0,1,0,3,1,4,2.0,0,15599
360,30-40,0,1,0,1,1,10,0.8,1,16423
360,30-40,0,1,3,0,0,0,-0.2,0,16423
360,30-40,2,1,2,0,1,0,0.4,0,16423
359,30-40,0,0,2,0,0,0,0.4,0,17008
359,30-40,0,1,2,0,0,0,-0.3,0,17008
359,30-40,1,1,2,1,1,1,-0.3,0,17008
359,30-40,1,1,1,0,1,5,1.8,0,17008
359,30-40,0,1,0,1,1,3,0.4,1,17008
359,30-40,1,1,1,3,1,0,-1.3,1,17008
359,30-40,0,1,1,1,1,0,0.4,1,17008
359,30-40,1,1,1,0,1,4,1.0,0,17008
359,30-40,0,1,2,1,1,1,-1.6,1,17008
358,30-40,1,1,2,0,1,0,0.1,0,17742
