SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
365,40-50,2,1,3,0,1,0,0.2,0,13017
364,40-50,0,1,0,5,1,2,0.4,4,13670
355,40-50,0,0,4,0,0,1,0.2,0,20837
355,40-50,0,0,0,0,0,2,-1.0,0,20837
350,40-50,0,0,0,0,0,1,-0.1,0,27089
349,40-50,0,1,0,0,0,1,-0.6,0,29213
345,40-50,0,0,2,0,0,0,0.6,0,36128
343,40-50,0,1,3,1,0,0,0.5,1,39245
343,40-50,0,1,3,0,0,1,0.8,0,39245
342,40-50,3,1,2,0,1,2,-1.1,0,41218
341,40-50,1,1,2,0,1,1,0.1,0,44260
340,40-50,0,1,1,2,1,2,0.9,1,46613
339,40-50,0,1,1,1,1,0,0.1,1,47945
337,40-50,0,1,2,0,0,0,0.3,0,53854
337,40-50,0,1,1,0,1,13,1.2,0,53854
336,40-50,0,0,0,0,0,2,0.2,0,56455
336,40-50,0,1,4,0,0,0,0.1,0,56455
334,40-50,0,1,1,2,1,0,0.0,2,60627
333,40-50,0,1,1,1,1,6,-0.2,1,64759
331,40-50,0,1,0,5,0,0,1.5,0,69037
328,40-50,0,1,0,1,1,0,-0.4,1,79473
328,40-50,0,1,3,0,1,1,-0.6,0,79473
328,40-50,0,1,3,0,0,2,-0.2,0,79473
327,40-50,0,1,3,0,1,1,1.4,0,81173
326,40-50,1,1,1,1,1,1,0.3,1,84530
325,40-50,0,1,4,0,1,0,-1.2,0,89245
324,40-50,0,1,0,0,0,0,0.0,0,92339
323,40-50,0,1,2,1,0,0,0.3,0,94157
322,40-50,0,1,0,3,1,1,0.6,3,97713
321,40-50,0,1,2,1,0,0,-0.1,1,100973
320,40-50,0,1,1,1,1,1,0.7,1,105580
320,40-50,0,1,2,0,1,4,0.9,0,105580
319,40-50,1,1,1,0,0,8,-0.4,0,107493
318,40-50,1,1,1,0,0,0,-0.1,0,109188
317,40-50,1,0,2,1,1,0,0.2,0,114485
317,40-50,0,0,3,0,0,0,-0.1,0,114485
317,40-50,0,1,2,0,1,1,0.2,0,114485
316,40-50,0,1,0,1,1,3,-0.4,0,119182
315,40-50,1,1,1,0,0,1,0.4,0,121110
315,40-50,1,1,2,0,0,1,-0.1,0,121110
315,40-50,1,1,1,0,0,3,-0.5,0,121110
314,40-50,1,1,0,2,1,0,0.7,2,122624
314,40-50,0,1,2,0,0,1,0.3,0,122624
314,40-50,0,1,0,1,1,7,-3.3,1,122624
314,40-50,0,1,1,1,1,5,-1.2,1,122624
313,40-50,0,1,1,0,1,9,1.6,0,128392
313,40-50,0,0,0,0,0,0,-0.2,0,128392
312,40-50,0,1,3,0,1,0,-0.3,0,133124
311,40-50,0,1,2,0,1,0,0.1,0,134615
311,40-50,0,1,0,1,1,3,0.6,1,134615
311,40-50,0,1,0,0,0,0,-0.5,0,134615
311,40-50,0,1,0,1,0,0,0.3,0,134615
311,40-50,0,1,1,1,1,3,0.0,1,134615
310,40-50,1,0,1,1,0,0,-0.1,0,136256
310,40-50,0,0,2,0,0,0,0.3,0,136256
310,40-50,0,1,1,1,1,2,0.9,1,136256
310,40-50,0,1,3,0,1,0,0.3,0,136256
310,40-50,1,1,2,0,1,2,-0.6,0,136256
310,40-50,0,1,0,4,0,1,-0.7,1,136256
309,40-50,1,1,1,0,1,2,1.0,0,141861
309,40-50,0,1,0,3,0,0,0.0,3,141861
309,40-50,0,1,2,0,0,1,1.0,0,141861
308,40-50,0,1,2,0,1,5,0.5,0,146459
308,40-50,0,0,2,0,0,0,0.1,0,146459
308,40-50,0,1,0,1,0,1,0.0,1,146459
308,40-50,0,0,2,1,0,0,0.3,0,146459
308,40-50,0,1,1,1,1,3,1.9,0,146459
307,40-50,0,1,1,0,0,0,0.3,0,147878
307,40-50,0,0,2,0,0,0,0.0,0,147878
307,40-50,1,1,1,0,0,1,0.3,0,147878
307,40-50,0,1,2,0,1,0,0.1,0,147878
307,40-50,0,1,0,2,1,3,0.1,2,147878
307,40-50,0,1,0,2,1,6,-0.4,1,147878
306,40-50,0,1,2,0,0,2,0.4,0,149440
305,40-50,0,1,2,0,1,0,-1.2,0,153293
304,40-50,1,1,2,0,1,0,0.3,0,157766
304,40-50,0,1,1,0,0,0,0.1,0,157766
304,40-50,0,1,2,0,0,0,0.1,0,157766
304,40-50,0,1,2,0,0,0,0.1,0,157766
304,40-50,0,1,0,0,0,0,0.3,0,157766
304,40-50,0,1,0,2,1,1,0.6,1,157766
303,40-50,0,0,2,0,0,0,0.8,0,160793
303,40-50,1,1,1,0,1,2,0.4,0,160793
303,40-50,0,1,1,1,0,0,0.3,1,160793
303,40-50,1,1,1,1,0,0,0.1,0,160793
302,40-50,0,1,2,0,0,0,0.4,0,162449
302,40-50,1,1,1,0,1,7,-0.3,0,162449
302,40-50,0,1,0,3,1,0,0.3,2,162449
302,40-50,0,0,1,1,0,0,0.2,1,162449
301,40-50,0,0,2,0,1,2,0.1,0,165882
301,40-50,0,1,2,0,0,5,-0.4,0,165882
301,40-50,0,1,0,2,0,0,0.9,2,165882
301,40-50,0,0,0,2,0,0,0.0,2,165882
301,40-50,0,1,2,0,0,0,-0.3,0,165882
301,40-50,0,1,0,0,1,5,-1.2,0,165882
300,40-50,1,1,1,0,1,1,1.0,0,170389
300,40-50,0,0,1,0,0,0,0.3,0,170389
300,40-50,0,1,2,0,0,0,0.1,0,170389
300,40-50,0,1,1,0,1,3,1.0,0,170389
300,40-50,0,1,2,0,1,0,-0.1,0,170389
300,40-50,1,1,1,0,1,0,0.9,0,170389
300,40-50,0,1,2,0,0,1,0.1,0,170389
299,40-50,0,1,1,0,0,1,-0.1,0,173002
299,40-50,0,1,1,0,0,0,0.6,0,173002
299,40-50,0,1,0,2,0,0,0.4,2,173002
299,40-50,0,1,0,0,1,10,-3.3,0,173002
298,40-50,0,0,1,1,0,0,0.7,1,174604
298,40-50,0,1,2,0,1,0,0.9,0,174604
298,40-50,0,1,0,2,0,1,1.3,1,174604
298,40-50,0,0,2,0,0,0,0.2,0,174604
298,40-50,1,1,1,0,1,0,0.4,0,174604
298,40-50,0,1,1,0,1,5,0.7,0,174604
297,40-50,0,1,0,3,1,0,0.4,2,177929
297,40-50,0,1,2,0,0,0,-0.3,0,177929
297,40-50,0,1,2,1,0,0,-0.5,1,177929
297,40-50,0,1,1,0,1,3,1.2,0,177929
297,40-50,0,1,0,0,1,2,0.2,0,177929
297,40-50,0,1,1,2,0,0,0.9,0,177929
297,40-50,1,1,1,0,1,2,-0.5,0,177929
297,40-50,0,1,2,0,1,0,0.0,0,177929
297,40-50,0,0,2,0,0,1,-0.3,0,177929
296,40-50,1,1,1,1,0,0,0.3,0,182372
296,40-50,2,1,1,0,1,1,-0.3,0,182372
296,40-50,0,1,2,0,0,0,-0.1,0,182372
296,40-50,0,1,1,1,1,3,-0.9,1,182372
296,40-50,0,1,2,0,0,0,-0.1,0,182372
296,40-50,1,1,1,0,1,2,0.0,0,182372
296,40-50,0,0,0,2,0,0,0.3,2,182372
295,40-50,0,1,2,0,0,0,0.3,0,184837
295,40-50,0,1,0,1,1,5,1.3,0,184837
295,40-50,1,1,1,2,1,0,-0.3,0,184837
295,40-50,0,0,2,0,0,1,0.0,0,184837
295,40-50,0,1,0,3,0,0,0.1,3,184837
295,40-50,0,1,1,0,1,1,0.9,0,184837
295,40-50,0,0,2,1,0,1,0.2,0,184837
295,40-50,0,1,1,1,1,1,0.8,0,184837
295,40-50,0,1,1,1,1,0,0.2,0,184837
295,40-50,0,1,0,0,1,0,0.5,0,184837
294,40-50,0,1,1,1,0,0,0.0,1,186371
294,40-50,1,1,0,1,1,2,0.6,0,186371
294,40-50,0,1,2,0,0,3,-0.3,0,186371
294,40-50,0,1,0,2,0,0,0.6,0,186371
294,40-50,0,0,2,0,0,0,0.0,0,186371
294,40-50,0,0,2,0,0,0,0.2,0,186371
294,40-50,0,1,1,1,1,0,-0.6,0,186371
294,40-50,1,1,1,1,0,0,0.0,1,186371
293,40-50,0,1,1,1,1,0,2.3,1,189612
293,40-50,1,1,1,0,1,1,-0.1,0,189612
293,40-50,0,0,2,0,0,0,-0.3,0,189612
293,40-50,0,1,1,1,0,0,0.2,0,189612
293,40-50,0,0,1,0,0,2,0.6,0,189612
293,40-50,0,1,0,1,1,0,0.3,1,189612
293,40-50,0,1,0,1,0,0,0.7,1,189612
293,40-50,0,1,1,0,0,1,0.6,0,189612
293,40-50,1,1,1,0,1,0,-0.3,0,189612
293,40-50,0,1,0,1,1,0,1.2,1,189612
293,40-50,0,1,1,0,1,0,-0.4,0,189612
